.feature,sample,expression
Ing5,GSM2545336,846
Ing5,GSM2545342,654
Ing5,GSM2545351,684
Ing5,GSM2545380,798
Ing5,GSM2545341,687
Ing5,GSM2545346,654
Ing5,GSM2545347,697
Panct2,GSM2545337,17
Panct2,GSM2545338,19
Panct2,GSM2545348,22
Panct2,GSM2545353,13
Panct2,GSM2545343,22
Panct2,GSM2545349,23
Panct2,GSM2545354,12
Panct2,GSM2545336,19
Panct2,GSM2545342,14
Panct2,GSM2545351,18
Panct2,GSM2545380,13
Panct2,GSM2545341,10
Panct2,GSM2545346,22
Panct2,GSM2545347,9
Serpinb10,GSM2545337,2
Serpinb10,GSM2545338,1
Serpinb10,GSM2545348,1
Serpinb10,GSM2545353,0
Serpinb10,GSM2545343,1
Serpinb10,GSM2545349,0
Serpinb10,GSM2545354,1
Serpinb10,GSM2545336,5
Serpinb10,GSM2545342,1
Serpinb10,GSM2545351,3
Serpinb10,GSM2545380,3
Serpinb10,GSM2545341,1
Serpinb10,GSM2545346,2
Serpinb10,GSM2545347,1
Gm8173,GSM2545337,1
Gm8173,GSM2545338,1
